,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Nashville Warbler,114929.0,603.0,99.47806668282381,0.0,121.0,0.03620642051100731,0.0
Nelson's Sparrow,114854.0,678.0,99.41314960357303,0.0,3.0,0.006344562396407127,0.0
Neotropic Cormorant,115252.0,280.0,99.75764290413046,0.0,6.0,0.0029948411975055933,0.0
Northern Bobwhite,109460.0,6072.0,94.74431326385763,0.0,151.0,0.21341273188591003,0.0
Northern Cardinal,108419.0,7113.0,93.84326420385693,0.0,8.0,0.08055777102708817,0.0
Northern Flicker,112880.0,2652.0,97.70453207769276,0.0,210.0,0.24076446890830994,0.0
Northern Gannet,102817.0,12715.0,88.99439116435273,0.0,100.0,0.27921268343925476,0.0
Northern Harrier,114661.0,871.0,99.24609631963439,0.0,35.0,0.020271439105272293,0.0
Northern House Wren,114544.0,988.0,99.1448256760032,0.0,20.0,0.014498148113489151,0.0
Northern Mockingbird,111766.0,3766.0,96.74029706055465,0.0,40.0,0.0913945883512497,0.0
Northern Parula,113392.0,2140.0,98.14769933871135,0.0,94.0,0.08536162972450256,0.0
Northern Pintail,114312.0,1220.0,98.94401551085413,0.0,67.0,0.04074195772409439,0.0
Northern Rough-winged Swallow,106817.0,8715.0,92.45663539106049,0.0,3200.0,0.4850257933139801,0.0
Northern Shoveler,115436.0,96.0,99.91690613855901,0.0,12.0,0.0017917114309966564,0.0
Northern Waterthrush,115121.0,411.0,99.64425440570578,0.0,1930.0,0.05363016203045845,0.0
Olive-sided Flycatcher,77708.0,37824.0,67.2610185922515,0.0,27.0,0.5386559367179871,0.0
Orange-crowned Warbler,112475.0,3057.0,97.35397984973861,0.0,510.0,0.1832565814256668,0.0
Orchard Oriole,114499.0,1033.0,99.10587542845273,0.0,9.0,0.013217117637395859,0.0
Osprey,114975.0,557.0,99.51788249143094,0.0,12.0,0.012974760495126247,0.0
Ovenbird,109880.0,5652.0,95.10784890766195,0.0,200.0,0.1552470326423645,0.0
