,Reddish Egret,Dark-eyed Junco,Graylag Goose,Fish Crow,White-winged Scoter,Golden-winged Warbler,Orange-crowned Warbler,American Redstart,Least Flycatcher,Dunlin,American Avocet,Baltimore Oriole,Short-billed Dowitcher,Great Blue Heron,Common Gallinule,Yellow-crowned Night Heron,Neotropic Cormorant,Horned Grebe,Horned Lark,Monk Parakeet,Canvasback,Northern Harrier,Blackpoll Warbler,European Starling,Brown Thrasher,Downy Woodpecker,Bullock's Oriole,Cape May Warbler,Cerulean Warbler,American Crow,Dickcissel,Brown Noddy,Great Black-backed Gull,Eastern Phoebe,Caspian Tern,Red Junglefowl,Royal Tern,Blue Grosbeak,Ross's Goose,Black-and-white Warbler,Tropical Kingbird,Purple Finch,Eastern Kingbird,Indigo Bunting,Acadian Flycatcher,Red-eyed Vireo,Solitary Sandpiper,Gull-billed Tern,Nashville Warbler,Black-headed Gull,Little Blue Heron,Warbling Vireo,Black-whiskered Vireo,Brown Pelican,Fox Sparrow,Black Scoter,Gray-cheeked Thrush,Grasshopper Sparrow,Field Sparrow,Hairy Woodpecker,Long-billed Dowitcher,Sandwich Tern,Lesser Yellowlegs,White-throated Sparrow,Bald Eagle,Bridled Tern,Groove-billed Ani,Killdeer,Allen's Hummingbird,Hooded Warbler
Neotropic Cormorant,4.5209483262972446e-06,4.389696930421327e-05,4.22751691140755e-06,9.279118830790517e-08,4.526291800141738e-08,4.109119968118447e-06,2.230386866897268e-06,5.999056867181085e-08,1.5185400369567762e-08,1.0518283214442965e-07,4.983673218105029e-07,5.134961334351735e-06,7.38685864228019e-07,3.339811755278665e-05,5.114748306642877e-05,6.2097096684684e-05,0.0,0.00015186626262873464,0.00022309719714849613,0.00013686031368534364,0.00011968249999212244,0.00020045000338043427,0.00020176175883034522,4.640317825319275e-05,2.451898739853831e-05,7.725632517032393e-05,5.718949116206717e-05,0.00024777930582734294,2.143953388253406e-05,6.431698272591681e-05,6.283633963728525e-05,6.7757196174822e-05,1.5952872152988226e-05,1.586167709317355e-05,0.00012352040424046617,0.0002408507359937286,0.0001323405433836949,3.079583896731591e-06,6.9007382484153135e-06,5.178222568365887e-05,7.428702285797715e-05,7.245156653484883e-06,2.0517046820281296e-06,1.1389577131193556e-05,5.911006047661597e-13,1.555237400447414e-13,1.2269442630609853e-13,2.5334883834900423e-13,5.17304221170333e-13,8.335084672134071e-14,1.3899546097252668e-13,1.1763522036071317e-13,3.5741036800914965e-13,2.691702821783015e-13,1.246396559753098e-13,1.4270420606280027e-13,3.5571341337737984e-13,2.470192305750372e-13,2.241730717988793e-14,4.266290069298924e-14,3.339183069159569e-13,2.541271978285361e-13,2.828698567529064e-13,1.2570058042006374e-13,4.4709422020221995e-13,3.0704298110841663e-13,2.7631765321960175e-13,7.557471227140543e-13,3.3554669480244933e-13,9.774205656610333e-14
Horned Grebe,1.602052387782521e-05,8.480276434025052e-05,2.4041156421293408e-05,8.96799349615923e-07,4.357387531432669e-07,1.2259135844686558e-05,1.6666130386219467e-05,6.810432218643326e-07,6.459413972091446e-08,6.038254631959439e-07,3.862749298542195e-06,8.372708507258444e-06,6.468786600884819e-06,3.3665334062949534e-05,7.393332485997307e-05,7.372932275629826e-05,0.00015186626262873464,0.0,0.0004232296376884138,0.0002831941026915764,0.00017515946185656618,0.0003349579799780177,0.00018588907048371046,0.00012712118029864847,1.5938525989484324e-05,0.00010827705880644007,6.832710200591973e-05,0.0002015913455443527,4.1456760231736407e-05,0.0001284041326448353,6.120210160291464e-05,6.192213896346329e-05,1.7980659377462696e-05,1.7606398633585956e-05,2.4578800680336622e-05,6.484403452058864e-05,0.0002597017700842302,3.1898839114454346e-06,1.087689279265739e-05,8.995973303045174e-05,5.2080664269992896e-05,2.671541570381036e-05,1.7062451231970565e-05,1.007390475986651e-05,7.1162908946756435e-12,4.673082014213333e-12,6.314470526544319e-12,8.052586519343762e-12,3.5767557943845493e-12,3.5201511512180335e-12,3.86190699632296e-12,2.7901257794069973e-12,6.962099933947948e-12,6.969429905952867e-12,2.497863404903583e-12,1.849785452627201e-12,5.331154515966679e-12,2.224706070932921e-12,3.4065424738309227e-12,3.1079060361124675e-12,4.248304042675339e-12,7.624492388379775e-12,1.1941076331731691e-11,2.898477022580875e-12,8.202957111166726e-12,7.342098237473494e-12,7.226807545487368e-12,1.211609284578338e-11,1.3679925032048934e-11,4.608877221582226e-12
Horned Lark,1.0609872173683188e-05,5.1685662398252084e-05,1.3837197081974106e-05,7.203990200226614e-07,2.820159981796343e-07,4.901161065327762e-06,6.707496893211092e-06,7.799523791064346e-07,1.9945038315419813e-07,4.976666785179318e-07,8.005109340118521e-06,1.1791898656595927e-05,3.5887302121950395e-06,9.15234022268324e-05,2.766184500738345e-05,7.582255093390686e-05,0.00022309719714849613,0.0004232296376884138,0.0,0.00016676589761485005,0.0002779002185902991,0.00012849671609186243,0.00027804931126727014,0.00011383042540184438,3.43634443230322e-05,7.400078134514535e-05,3.251577819251077e-05,0.000129710640002967,6.75359066597047e-05,5.799369928314437e-05,8.703226120685561e-05,5.467774881344375e-05,3.601689246397812e-06,7.166300659833104e-06,4.002175631630037e-05,4.3807323845916334e-05,8.835476926807951e-05,6.736714625103894e-06,4.339728782868467e-06,6.621452174373268e-05,9.095302897141164e-05,4.907975731979743e-06,1.8737113467728323e-05,1.849202349426773e-05,3.5756709804115408e-12,1.6579470401263246e-12,1.9252575527833594e-12,1.5824797559543829e-12,2.56260849917604e-12,8.878405569767004e-13,1.2856249447024825e-12,9.6596243095424e-13,2.8764245259379034e-12,2.3597052537696458e-12,6.235209172160423e-13,7.2087252398065e-13,1.0587907761762252e-12,1.9760190621392686e-12,1.5010506385557774e-12,9.266883991883533e-13,1.2386289806782538e-12,1.6540742106880238e-12,3.6339460886353317e-12,2.262059810424676e-12,2.331272129746913e-12,2.6122709981753974e-12,4.0035202733034385e-12,4.7543155720387295e-12,3.6053358055160928e-12,1.53030168382477e-12
Monk Parakeet,1.643754902609657e-05,0.00019104264508208195,5.9313570225966475e-05,1.0579575737024533e-06,1.1522440244001229e-06,1.1277955088565566e-05,6.06678929913133e-06,1.24898011307684e-06,3.132292448005046e-07,2.5145848902565406e-07,9.727461675631298e-06,4.1850986283328304e-05,7.339791490225906e-06,4.277863849711808e-05,0.00015661477480082714,9.931122114272597e-05,0.00013686031368534364,0.0002831941026915764,0.00016676589761485005,0.0,0.00018636071666806636,0.000460100170406997,0.00018109220815959665,0.00020905195539834082,4.8392612645501916e-05,8.333284010638299e-05,0.00011129559334031385,0.0001630409499407229,0.00011307909591321181,4.291479400373134e-05,4.4142665854283804e-05,9.266958869029638e-05,5.600993315482768e-06,3.462406360072612e-05,2.1928461807698785e-05,8.715410137735813e-05,5.071095738364522e-05,5.3710833228801295e-06,2.6812803885142346e-06,6.631446178324375e-05,7.133864209766876e-05,8.41454295164273e-06,9.337520692917083e-06,0.00010263111806348347,9.94757025548384e-13,2.9278724954174985e-13,2.5472096636766506e-13,2.385678554881099e-13,6.141562023477261e-13,7.767041299844331e-14,1.8744369627342565e-13,1.7840783379846047e-13,9.474081844786368e-13,2.1772547958789235e-13,9.125965460770977e-14,1.1255593247325321e-13,1.4019258064018594e-13,2.0632915177656275e-13,1.5661813528817776e-13,1.459010339238982e-13,2.9545772335436455e-13,3.454384019130824e-13,8.510676908856924e-13,4.2398189780932414e-13,2.393289348940298e-13,7.300706584672452e-13,4.0604860602677056e-13,4.854105620742349e-13,4.01184432764143e-13,7.74703020483069e-14
Canvasback,6.869497029551359e-06,5.854148111902347e-05,3.3048044518684345e-05,7.74603789418293e-07,5.427163429729821e-07,1.3232258155941543e-05,4.237314703047019e-06,4.397450091835514e-07,4.459392627911503e-07,1.356238646390332e-06,3.958317956509576e-06,2.4063919030564957e-05,8.827245616292276e-06,5.573684196804534e-05,0.00010796606112102442,7.000093497171444e-05,0.00011968249999212244,0.00017515946185656618,0.0002779002185902991,0.00018636071666806636,0.0,0.0005613027163574872,0.0003368071172235887,0.00017222034272857087,8.010014937523878e-05,0.0002518802547242548,0.000144024411018703,0.00014883127127975572,0.00014046606203353904,0.0001359717066672002,0.0002440964917234707,9.8168774183384e-05,1.3355251728499526e-05,0.0003960567171042758,0.00012153130538657959,0.00019700043466335006,0.00018037946496998096,5.139382669442787e-06,2.5529405446342667e-05,0.0002499437062721326,0.00012412877595442592,1.6966818798521582e-05,4.454997683088842e-05,3.746005249447013e-05,5.038420794092411e-12,4.6212275990592286e-12,1.895834386937568e-12,1.7682085836486541e-12,3.0378401956617326e-12,1.613423395689862e-12,3.982471418389764e-12,3.600828286810393e-12,4.489668408675536e-12,4.118074775118512e-12,5.778032768849294e-13,3.833391180029757e-12,1.5352527737573836e-12,4.782327586016854e-12,4.0320565607268035e-13,2.2645735185297637e-12,5.710752714207001e-12,2.0469509615234644e-12,6.349909225843047e-12,1.0602014955292913e-12,2.6324158316388836e-12,6.4937591181406204e-12,3.2912954950265307e-12,5.445450510437531e-12,6.150147376350514e-12,1.5487824560512694e-12
Northern Harrier,2.4723344640454406e-05,0.00021249818858117562,7.16806318601846e-05,5.6666063125623826e-06,1.9250748286155136e-06,4.8137251213531676e-05,3.5587584519812994e-05,2.256359025953876e-06,2.2460137415224545e-06,3.951199723443749e-06,1.1355686282879938e-05,5.3259091392417566e-05,3.568115237758488e-05,8.794511806890117e-05,0.0003234556190356742,0.00042260165276140427,0.00020045000338043427,0.0003349579799780177,0.00012849671609186243,0.000460100170406997,0.0005613027163574872,0.0,0.0002556818401254526,0.0002568774929707498,2.8722014841774105e-05,0.00037972765016523497,9.585685585552087e-05,0.0002501402172231499,9.50013451177313e-05,5.271729314562322e-05,7.031743330323751e-05,4.074576811367762e-05,2.582881331704178e-05,1.9814450047707265e-05,3.3287545137830766e-05,8.660888092302151e-05,5.56047461729417e-05,2.8384785734844357e-05,1.5373669406841017e-05,0.00019210931441521428,3.865402355847464e-05,0.0001012418754738689,2.985620970743844e-05,6.503643529034025e-05,3.4346813791341147e-12,1.375452407395011e-12,1.4803933580482356e-12,8.706883158208889e-13,2.233687592646258e-12,6.005133998017519e-13,1.2467477774734062e-12,1.0831323718328323e-12,3.441963739901015e-12,5.197350179042204e-12,5.701228917808425e-13,3.358091169075352e-12,1.4602966060078219e-12,2.747009965923006e-12,4.1599032855878976e-13,3.501289882476615e-13,2.812846564533424e-12,1.6216234860856614e-12,3.919651052777243e-12,9.935602805338454e-13,1.5305448229677758e-12,2.996195697947561e-12,9.739182598742191e-13,3.5748514464126492e-12,2.9170019516005397e-12,4.878873352515301e-13
Blackpoll Warbler,6.010041507895729e-06,6.911717549754523e-05,1.0926398433165421e-05,3.716577560250247e-07,1.2357766165526285e-07,3.4717940215785804e-06,9.369307020541636e-06,1.2344704791787623e-07,1.2864011493424733e-07,2.0624179687718333e-07,1.0871945985801763e-06,5.932654337710373e-06,7.361825197476985e-07,3.689628471661408e-05,5.486337296175207e-05,0.00011008000088153599,0.00020176175883034522,0.00018588907048371046,0.00027804931126727014,0.00018109220815959665,0.0003368071172235887,0.0002556818401254526,0.0,0.0002596471462317557,7.276379204845058e-06,9.176828035180164e-05,6.93317710419928e-05,0.00012735986691295642,6.539582921183798e-05,4.9680350551697586e-05,0.0001181274571072259,8.040310660825881e-05,7.937971054443097e-06,2.19221906194282e-05,7.678337201259785e-05,3.444335125103509e-05,5.384697013749225e-05,6.033354043719293e-06,5.178560712164716e-06,0.00012969865383706089,3.018780322825784e-05,4.497626799316827e-06,2.198614293151926e-05,8.678301321293802e-06,8.539331659281235e-13,2.948496294036465e-13,4.2451559340270917e-13,4.662785433941055e-13,1.0345975070499186e-12,1.332779919012765e-13,5.089430851335461e-13,8.531836703727444e-13,9.38511838642921e-13,1.5767621715258435e-12,1.8301697041177965e-13,2.4168683971285535e-13,2.566809227993644e-13,1.109778466128125e-12,1.9861230188473965e-13,3.4918593331749975e-13,9.686560154436328e-13,3.9723155767979936e-13,6.185014786617664e-13,5.348641179846044e-13,6.04689236153291e-13,7.993364755938203e-13,8.134313546349724e-13,2.744807687129918e-12,1.3147686570467148e-12,4.15380254113012e-13
European Starling,3.118435558938455e-05,3.5821767717252476e-05,3.739831564892708e-05,6.220579849862598e-06,1.2295970543452938e-06,1.0531585002488257e-05,3.906251985459562e-06,3.0364598814864816e-06,1.1499365244707652e-06,2.647630046962379e-05,5.293365935218189e-05,3.586122836148884e-05,9.535479334600033e-06,4.745623894666414e-05,9.289409474899592e-05,0.0002855246232653986,4.640317825319275e-05,0.00012712118029864847,0.00011383042540184438,0.00020905195539834082,0.00017222034272857087,0.0002568774929707498,0.0002596471462317557,0.0,3.4284454054580446e-05,6.005466398947642e-05,0.00012641062540320593,6.974060395631262e-05,0.00010048324911357202,7.51597719779004e-05,0.00023285201175014515,0.00021317009877634119,1.5556943388433976e-05,2.490258673666142e-05,2.6435479627861994e-05,3.8790214857080145e-05,0.00010594177524637071,3.5651691139902614e-05,2.1257306694662356e-05,0.00010249044606049564,7.291368261339736e-05,5.687406361448634e-05,7.907474282524517e-05,0.00010594859054431866,8.580791866992584e-13,2.6225961502186145e-13,2.4481146143490265e-13,9.132246872730559e-14,2.467511948930302e-13,8.073161916704186e-14,6.949360784279101e-13,3.056971458233653e-13,1.8829920387168382e-12,1.0865131458102403e-12,4.910467211330867e-14,2.745754354093342e-13,1.7040003544538714e-13,5.372903908537974e-13,3.082850466580744e-13,2.677906761950373e-13,1.0013879483530615e-12,3.149499426776836e-13,4.775651950021501e-13,3.5268200917129114e-13,4.895810371236501e-13,2.0034865095965492e-13,1.4340492092539584e-12,1.4386114551024916e-13,8.597966476807879e-13,3.376386719308608e-14
Brown Thrasher,6.850802545173304e-06,4.031978187280183e-05,3.520061196292298e-05,4.655577171018107e-06,4.547517855254234e-06,8.552672857264185e-05,8.641227035261268e-05,1.1208870100202708e-05,1.858823937307999e-06,1.278284372259216e-05,1.6023031324716633e-05,8.782803442217698e-05,1.2933735131762353e-05,3.991706177712173e-05,4.00449149838138e-05,1.7848934889802955e-05,2.451898739853831e-05,1.5938525989484324e-05,3.43634443230322e-05,4.8392612645501916e-05,8.010014937523878e-05,2.8722014841774105e-05,7.276379204845058e-06,3.4284454054580446e-05,0.0,5.02855624980081e-05,0.00013500773303511766,5.0808610734664825e-05,3.7646247270822977e-05,7.77747251756611e-05,4.8947522470284116e-05,8.210960071274511e-05,7.75649241994297e-05,0.00015446440860709308,0.00019800164025213945,8.583078724481224e-05,8.890865346657788e-05,1.810752773376913e-05,3.2546071035618166e-05,3.217600982150285e-05,6.691005586890249e-05,5.397313877427998e-05,0.0001735616515179871,0.00011082551586169652,2.379429518662166e-10,2.3210463135862842e-10,1.5763512804752612e-10,1.6239785520242116e-10,1.3005570377914016e-10,4.904814252012998e-11,9.564186104992848e-11,1.139271942966754e-10,1.535431186117392e-10,1.3625034482327775e-10,3.492960702891679e-11,7.400414103823108e-11,2.0366514278419403e-10,1.9350597669112824e-10,8.882894532969695e-11,1.6159997592761663e-10,1.5405918726622122e-10,6.483418157005725e-10,2.856445785459604e-10,1.7951081985430316e-10,3.738458815068989e-10,1.576814883982916e-10,5.598165262869312e-11,4.845098547066136e-10,2.111905295959648e-10,3.913762441051324e-11
Downy Woodpecker,5.33029978052145e-06,6.131651793776424e-05,2.9041009818374977e-05,1.9236218796618575e-06,7.318250913832153e-07,2.2171743983795267e-05,2.6783272053263497e-05,1.2331847688599637e-06,4.2272151983235574e-07,5.418409539731692e-06,6.802792068193387e-06,2.6079079234641155e-05,9.394275405520897e-06,7.456035070954775e-05,5.201714085520532e-05,0.00011903029846001909,7.725632517032393e-05,0.00010827705880644007,7.400078134514535e-05,8.333284010638299e-05,0.0002518802547242548,0.00037972765016523497,9.176828035180164e-05,6.005466398947642e-05,5.02855624980081e-05,0.0,0.00031931238670799634,0.00035306249613464873,8.783868952061726e-05,0.00014034610979132847,0.00013809462691189402,9.428796524430674e-05,1.9023626359365135e-05,5.1907443751347174e-05,0.00011139313289078461,0.00017058573736755044,0.00013293275293144082,4.3829803853474e-05,7.084629727676555e-05,0.0001396779010334705,0.00020309069112027877,4.390567000456778e-05,5.236866397523836e-05,0.00012387170425276082,1.6090019461971428e-12,7.15637474034073e-13,1.4276469857045582e-12,6.773738517487347e-13,4.404067834271643e-13,3.355766294933022e-13,6.2187279117985e-13,2.5876320916010413e-13,1.4286432917067227e-12,7.804312749211182e-13,1.942546569331354e-13,6.693440879438097e-13,3.5044659646092834e-13,1.2644251913177452e-12,2.6561655048726447e-13,3.3040891247338934e-13,2.532808823925707e-12,8.622956339703691e-13,3.916007745355655e-13,5.345130900451028e-13,1.1004718712407896e-12,2.8786945690105087e-12,1.1375248903767504e-12,2.8698561224723604e-12,8.078533770627631e-13,1.475016077138766e-13
Bullock's Oriole,1.2422926029881353e-05,3.073973261773273e-05,1.6623311556635298e-05,6.059718234898966e-07,3.2707189766707397e-06,1.4213760123527483e-05,1.5492047125527534e-05,2.1503018344972834e-06,3.4695698652350565e-07,1.066476452223492e-05,1.3610445270454909e-05,5.159092049471985e-05,6.2398153024172795e-06,9.807540183388591e-05,0.00011099121531678683,4.133965848231727e-05,5.718949116206717e-05,6.832710200591973e-05,3.251577819251077e-05,0.00011129559334031385,0.000144024411018703,9.585685585552087e-05,6.93317710419928e-05,0.00012641062540320593,0.00013500773303511766,0.00031931238670799634,0.0,0.00039629320014718857,0.00019692216125832167,0.00017216546328833213,0.0001203291561924068,0.00025722178447299104,4.1106993376853705e-05,8.468917885378043e-05,0.00020865760129379387,0.00029843316456775246,0.00018674557952504122,6.22638142468785e-05,0.0003116026079851328,0.00010775441549681103,8.248284294724407e-05,6.32013554922828e-05,6.35668541675315e-05,3.133224289859898e-05,6.446811261466205e-12,1.212195516869379e-12,1.3068286714810435e-12,1.903344943243479e-12,2.390534585420046e-12,3.4499600452725684e-13,2.296800151432362e-12,6.31967034624044e-13,3.8472525773088385e-12,1.7091302613060855e-12,1.285627164821794e-12,1.6484751715539144e-12,4.0653823485625874e-12,2.4787527744946578e-12,8.821520732690731e-13,9.847749089695015e-13,2.1513375838876435e-12,5.6438212799829506e-12,5.375704637579893e-12,2.1024889415569886e-12,1.382252214232036e-12,1.1826323811864037e-11,1.3602781154857127e-12,5.617961835538512e-12,8.363838677777564e-12,2.025604018833839e-12
Cape May Warbler,9.640742182641944e-06,9.49518571447357e-05,1.5244094799301145e-05,1.5480713835738122e-06,9.783449202399883e-07,2.8930854993269847e-05,6.678759096805121e-06,8.870611805853388e-07,5.646391374866387e-07,8.602269389560237e-07,9.055039613784389e-06,1.6429218659712984e-05,9.037179100354334e-06,0.0001026586565879366,0.0001094567748798316,6.599411967817707e-05,0.00024777930582734294,0.0002015913455443527,0.000129710640002967,0.0001630409499407229,0.00014883127127975572,0.0002501402172231499,0.00012735986691295642,6.974060395631262e-05,5.0808610734664825e-05,0.00035306249613464873,0.00039629320014718857,0.0,0.00013531765394147379,0.00024391861192542323,0.0001880263319278446,7.79023486452013e-05,7.370308800923607e-05,6.306281129583857e-05,0.00019614210875864047,0.00026891815602607535,0.00011655767797964537,1.3092489887235554e-05,4.281149120325638e-05,4.276315499098606e-05,0.00020314724133928985,4.858930710194888e-05,6.393116274136042e-05,4.037713669727291e-05,5.404766894834312e-13,1.161335898405893e-13,2.7877314667000373e-13,3.5367887894717645e-13,2.476018359977582e-13,7.984114175383525e-14,2.8787447689199533e-13,1.9222629382697756e-13,6.627603313843807e-13,4.005654524244272e-13,9.374384230482212e-14,1.174552533211072e-13,3.2493291240404783e-13,1.1317624338775229e-13,7.03450496833059e-14,6.890370707420923e-14,6.624977377016843e-13,1.0922580522218388e-13,5.439610670405015e-13,1.7148537049521767e-13,7.887048510279714e-13,1.0535122797000854e-12,4.3662543360667676e-13,5.548034288288262e-13,5.590467012262844e-13,1.953752852268059e-13
Cerulean Warbler,1.408932019907138e-05,4.1679054532060215e-05,2.4914250877038357e-05,2.586416924328882e-06,2.189591115805369e-06,3.252955210521798e-05,9.413947854965252e-06,4.010206526257387e-06,1.4097250771016457e-06,1.3176152521900287e-05,1.034683018674876e-05,3.6910281002457194e-05,7.676477754201483e-06,1.737858124457136e-05,2.2800652841614727e-05,8.734821151962825e-05,2.143953388253406e-05,4.1456760231736407e-05,6.75359066597047e-05,0.00011307909591321181,0.00014046606203353904,9.50013451177313e-05,6.539582921183798e-05,0.00010048324911357202,3.7646247270822977e-05,8.783868952061726e-05,0.00019692216125832167,0.00013531765394147379,0.0,0.0001297314924754524,0.00022960381952193013,0.00010260615133091212,3.7730882456034264e-05,4.362758010550332e-05,7.648211515394404e-05,3.906582551567581e-05,0.00014116427159448474,2.3986225672675978e-05,5.096434395720001e-05,0.00022516781641356877,5.533333205717149e-05,2.15463858807811e-05,8.96514702555155e-05,2.3102803848664123e-05,2.332850094412495e-10,3.500482100789565e-11,2.354862616753487e-11,6.52582798076454e-11,4.550724588731767e-11,3.131023914266231e-11,6.082009245027104e-11,4.563137593678861e-11,1.2535008578790474e-10,3.505747164090444e-11,5.4986974084616405e-12,4.444137333032617e-11,1.9466568790399837e-11,1.629570487601711e-11,2.272468217437707e-11,1.1327075005046368e-11,5.2681241476775924e-11,2.0080621583473933e-11,3.5120450256130007e-11,2.8614956184081497e-11,3.8086100567119725e-11,1.5076857134594613e-10,2.7765512706923162e-11,1.8122561829046806e-10,8.313220628668445e-11,1.58905219398194e-11
American Crow,1.992703943839478e-06,1.196939424504575e-05,4.731693481276301e-06,8.70927188153753e-08,2.2164845061234068e-07,5.4368342564662585e-06,3.879014678805057e-06,4.698266881116759e-07,1.1437687494373776e-07,3.2962824129835406e-06,1.487610433168347e-06,4.154714580193514e-06,1.2736705343024382e-06,2.1546943346741553e-05,9.797380818529635e-05,1.5298486505045134e-05,6.431698272591681e-05,0.0001284041326448353,5.799369928314437e-05,4.291479400373134e-05,0.0001359717066672002,5.271729314562322e-05,4.9680350551697586e-05,7.51597719779004e-05,7.77747251756611e-05,0.00014034610979132847,0.00017216546328833213,0.00024391861192542323,0.0001297314924754524,0.0,0.0002980759666858079,6.14457308045575e-05,0.00010309780658341557,3.582520427800229e-05,0.0002530879689222287,0.00017457015510561683,5.893666260087267e-05,2.263450456769982e-05,6.85113111855548e-06,0.00016296319260328314,0.00018584647024983116,1.2797883763727243e-05,4.3427658539049914e-05,2.772400275544208e-05,4.838322770846171e-11,3.671559274869363e-11,1.8971295112121435e-11,1.7503259904403812e-11,5.02849803433472e-11,4.047980095267209e-12,2.3353318500312117e-11,8.158320874949429e-12,1.6435160611470354e-11,4.176961112676937e-11,8.15332106686149e-12,6.12585115118687e-12,5.781480610902559e-12,9.450748857766079e-12,6.211125852220194e-12,6.654749623281245e-12,1.375726175099478e-11,1.5730571405548418e-11,3.127298175707764e-11,1.0340598811121064e-11,1.9104490670184438e-11,2.947163542596811e-11,1.6755494230370875e-11,4.127379699570946e-11,1.2349066530610094e-11,1.2272640242677801e-11
Dickcissel,1.6258191849088556e-05,2.8219924259401864e-05,4.63084609843972e-05,3.158087265584047e-06,2.8977790716562392e-06,6.304686045428747e-05,3.241521511045527e-05,2.4778734546055e-06,8.557319173716232e-07,2.5120794104497827e-05,2.2172276015294754e-05,1.802007331705193e-05,1.910872010308282e-05,5.9473250783021267e-05,2.668530422580427e-05,7.81951066827702e-05,6.283633963728525e-05,6.120210160291464e-05,8.703226120685561e-05,4.4142665854283804e-05,0.0002440964917234707,7.031743330323751e-05,0.0001181274571072259,0.00023285201175014515,4.8947522470284116e-05,0.00013809462691189402,0.0001203291561924068,0.0001880263319278446,0.00022960381952193013,0.0002980759666858079,0.0,0.00023042001357022606,0.00021050293275712417,9.605659148947149e-05,5.9828066751839974e-05,0.0002617075250158884,0.0002045841404867798,5.807023588872321e-05,0.00019171578005995897,0.00010443333749869779,0.00011399367105414975,3.318852924086325e-05,0.00020334951854082255,7.362055441527491e-05,6.123731036833838e-11,6.149631742644648e-11,2.522700820575214e-11,4.3480571978191547e-11,9.67366761145446e-11,7.617205889817125e-12,1.3708126101867723e-11,1.1730582864182391e-11,2.7346286633684345e-11,3.4389286297519604e-11,1.0244448799605265e-11,2.384143135198743e-11,2.8919587636981096e-11,2.6753686305399027e-11,5.104033605462957e-12,4.782817670245994e-12,5.5288713739917657e-11,1.1502632970910386e-10,1.9135893554775525e-11,9.635674793314286e-12,1.4419730499763082e-11,2.753478986447311e-11,3.252430665050714e-11,3.571870906686772e-11,1.185747388496571e-10,1.693945491497418e-11
Brown Noddy,5.9371965448359595e-06,4.537278295546011e-05,2.3882800660721587e-05,1.1818411595471606e-06,2.8021696423699055e-06,8.770882324339757e-05,1.235199468960084e-05,1.6088284408694664e-06,1.4294633047459456e-06,1.464746354485744e-05,6.619052421338258e-06,1.9162695330739012e-05,2.9443425759863354e-06,2.59260096946155e-05,7.104957557421301e-05,6.961581802142838e-05,6.7757196174822e-05,6.192213896346329e-05,5.467774881344375e-05,9.266958869029638e-05,9.8168774183384e-05,4.074576811367762e-05,8.040310660825881e-05,0.00021317009877634119,8.210960071274511e-05,9.428796524430674e-05,0.00025722178447299104,7.79023486452013e-05,0.00010260615133091212,6.14457308045575e-05,0.00023042001357022606,0.0,0.00035172910935673125,0.00012824488258230345,0.00013589516322001224,0.00031044997927850526,0.0002099847985772396,3.994000695029886e-05,9.216410273728231e-05,4.687703872465244e-05,0.00014324129513744428,2.3948063800511456e-05,5.245860201760868e-05,3.279878959044453e-05,1.790920485668014e-10,2.82076732191429e-11,1.737547930108519e-11,1.343293099385658e-11,3.824932162363233e-11,2.870143169630838e-11,4.606686942217196e-11,2.1249054629924675e-11,5.876616896173755e-11,7.404668009854655e-11,1.60877874991915e-11,3.9694796362470826e-11,2.289920655509106e-11,7.051320200040689e-11,2.976147265449834e-11,1.873469196132015e-11,1.193950282637156e-10,5.332463698632078e-11,8.373720472416611e-11,2.9452315076975215e-11,2.8350164767073726e-11,1.752664601932609e-11,5.507563052903604e-11,7.163953047810807e-11,1.3705221913936006e-10,3.363891417099887e-11
Great Black-backed Gull,1.8128920234787562e-06,8.651671275439462e-06,4.342289501231812e-06,1.0743842832831158e-06,1.5625581150771421e-06,2.450058820046846e-05,8.112911521687206e-06,3.7375257740836457e-06,9.677021772287245e-07,3.077557657128827e-05,1.698256364014912e-05,1.322015588905842e-05,8.039008425047676e-06,6.900270885829248e-06,3.566270599516375e-05,6.443011350265148e-06,1.5952872152988226e-05,1.7980659377462696e-05,3.601689246397812e-06,5.600993315482768e-06,1.3355251728499526e-05,2.582881331704178e-05,7.937971054443097e-06,1.5556943388433976e-05,7.75649241994297e-05,1.9023626359365135e-05,4.1106993376853705e-05,7.370308800923607e-05,3.7730882456034264e-05,0.00010309780658341557,0.00021050293275712417,0.00035172910935673125,0.0,0.00011974483368544113,0.00013644123725925202,0.0001742963353827396,4.459885865505631e-05,4.792899938825236e-05,0.00035166912724070277,6.0401429660739184e-05,5.641967012241359e-05,3.9521138470413057e-05,6.48459046595048e-05,1.186651963997209e-05,1.017020252357355e-08,3.711194928146553e-09,1.1708050574006725e-09,1.4104229442005309e-08,3.05031128304888e-09,1.7537813745501677e-09,1.443572069580921e-08,3.227488729885369e-09,8.304775126578766e-09,2.0632816734907746e-08,2.291048116656996e-09,4.034977507961017e-09,1.7467384356086987e-08,2.3474010493658894e-09,3.6547830984238966e-10,1.5427925582709144e-09,2.9715507452694273e-09,1.1650958885973899e-09,4.133815955822974e-09,6.154527273013463e-09,1.3353564122894826e-08,1.949355973373813e-08,3.3344192704455e-09,4.93544129205785e-09,1.6490266780345378e-08,5.315201222056511e-09
