,t_mean,water,shore,urban,salt_marsh,salt_woody_wetland,longitude,northness_median,elevation_sd,poc_mean,fresh_marsh,pasture,trange_mean,shrub,chl_mean,eastness_sd,forest,grassland,latitude,fresh_woody_wetland,elevation_median,agriculture,slopeness_sd,northness_sd,slopeness_median,barren,eastness_median
Barn Swallow,-0.22903053149555297,0.010452749290441665,-0.021460034513589864,-0.030886391781002578,-0.02608566427219933,-0.050636724804143995,0.2668841604561643,0.020741891193920524,0.3820974541144287,-0.06481551983051677,-0.040514971641130486,-0.12798717099327514,-0.20584411249652348,-0.13769981419445895,-0.16340639220687012,-0.04070848791355052,-0.0732576395286165,-0.0473907782207533,0.0844384303474224,0.001074371097367554,-0.05123763828825504,0.023675907678685753,0.03287449757920637,0.006080445540389068,0.029324233534780166,-0.13058971438435482,0.0031693436374761884
Sanderling,-0.1758348308285059,0.007737712616483701,0.011098256859757532,0.09922889513523132,0.11886269831081982,0.10144971520902778,0.350679911566214,0.02848999411439279,0.4058795464955748,-0.0916984921245973,-0.07016012025162037,-0.1641483368546102,-0.31422732220508787,-0.19394977723299345,-0.2430799218741347,-0.1324618919561778,-0.12645304544464003,-0.07478086088997775,0.024061924238049835,-0.14258974060114712,-0.10970562502234076,0.02906726621164323,-0.0127952819086749,-0.04867072381108153,-0.05749385449745343,-0.13638608929681573,-0.037330805699357664
House Finch,0.22430561842853114,0.020267796025976084,0.14116954846529292,0.2712317212705886,0.33501054037569417,0.3396286044285789,0.3424198410385669,0.005950921151777643,-0.16435424168781373,-0.12012161937545551,-0.2011848950587431,-0.3695512895093033,-0.6263953967759773,-0.15374085893419365,-0.27304775990813523,-0.23107402393687598,-0.15437073242120034,-0.10786702450181031,-0.5703711801217936,-0.35891661925988516,-0.7572888433610155,-0.11521724839411325,-0.056024029807302034,-0.15466897612988573,-0.17525649372028929,-0.07044554772108431,-0.026994034261585993
Brown Pelican,0.2512119323466305,0.10617413651104853,0.17068858403778672,0.19665051264205446,0.30642070237807356,0.2741125154948562,0.3437285275962786,-0.00297752106875428,-0.10477599302029222,-0.11408060707958928,-0.1643019765606293,-0.3635861616243687,-0.6484370273889661,-0.317413515827985,-0.37451089427926426,-0.3117003286618538,-0.30829299574699154,-0.2228121450599882,-0.5068618460713505,-0.3274880093685161,-0.6498898375907434,-0.1426078476704158,-0.17212611290354665,-0.23381103158618266,-0.32156374091791295,-0.1452220562253076,-0.006323997199004135
Laughing Gull,0.28183729540492675,0.13920593189901076,0.2272278310845606,0.22060083715114634,0.35059070528104397,0.30274480380924995,0.4251842370501169,0.006423236478036108,0.04517825408181561,-0.12350457240289481,-0.22716484445256865,-0.4205455628084846,-0.6916319796928746,-0.38246238816383904,-0.4434210758985839,-0.37551110878628485,-0.37397234461809364,-0.28470615333914207,-0.55896695724556,-0.346025478708568,-0.7095779007787706,-0.19240987184050506,-0.20129817470212738,-0.2867093485361924,-0.3913769964492542,-0.182172369169615,-0.02797439397322333
Royal Tern,0.2437208889387475,0.11631356549586976,0.2036988399428556,0.23822721833221175,0.36034544987973716,0.32636971436369133,0.4058946858711302,0.001744907874287151,-0.017033923556735834,-0.11956470033078903,-0.19711474761196887,-0.3959698831205395,-0.6723580765791917,-0.34097788607727814,-0.4084266886588677,-0.3389992392841763,-0.3121058927846712,-0.24054510218931643,-0.5160436469664326,-0.3513942567273665,-0.6833272792176528,-0.17105500992838538,-0.17410541436776145,-0.2427874411904997,-0.34070287470520827,-0.16778360974898146,-0.03579099400183536
European Starling,0.34656633827150335,0.12937664494693255,0.20532942720491995,0.1585781343662622,0.28405364663795085,0.24885172864890082,0.28153652219564074,0.025355184456796402,-0.28539684139918114,-0.12379154854400654,-0.14583176972068412,-0.3492987667305418,-0.5959570037828678,-0.32095105776953486,-0.34801853762598706,-0.31466098898550987,-0.3511890982160057,-0.25520775219251035,-0.5484422440590134,-0.2739651548489727,-0.6372378896053648,-0.19252346753556393,-0.20286688335387348,-0.2576516563526651,-0.3589592879299992,-0.13536216259429035,-0.011369850515117954
Rock Pigeon,0.3381218981573342,0.11330558044961052,0.21799259577868738,0.21641682116036845,0.35434752254534285,0.32541438307177056,0.3602841934761656,0.012645486291779936,-0.14450666659121011,-0.11208487084212773,-0.2025776396672746,-0.42803110744782924,-0.6889783637069583,-0.33241592896538685,-0.3846681528323181,-0.345314054711095,-0.3268108221959545,-0.25196307160571696,-0.6293767297928149,-0.35755046619341785,-0.7748644050654252,-0.207324171391425,-0.19092614521596502,-0.26076302794100364,-0.3541461996178379,-0.14608113523133243,-0.033768228753914636
Snowy Egret,0.4210131172783911,0.13228793564860875,0.25263638729748894,0.275340395685537,0.44915879826051597,0.4222903031276341,0.3753786637940599,0.017642453481089247,-0.24348000792621968,-0.10734972072910279,-0.20186163066416474,-0.4816355794623631,-0.7466768050104535,-0.36970071975662816,-0.4394176627674966,-0.39904577122062057,-0.3690504930559866,-0.2860817143417374,-0.7223771774952329,-0.4417724845469264,-0.8344499975002467,-0.227258645602409,-0.20999186647039952,-0.30854364271744944,-0.41497264681096696,-0.15230460786077726,-0.04369641952593097
Double-crested Cormorant,0.4533459769540847,0.12490159873521252,0.23277026615310067,0.22805601341114703,0.39091222480670423,0.37654655443169605,0.26230578136804356,0.005406539309230407,-0.3752264828208383,-0.10320870747956006,-0.16238069308065545,-0.4139075384502381,-0.6732257734586836,-0.32077474295858405,-0.36195930044235136,-0.3508223542484787,-0.3464343330708502,-0.2615328718095608,-0.6905707281441176,-0.38547768036795443,-0.7696295514158124,-0.23357261008336394,-0.22013151089045246,-0.3012463985624716,-0.4067149664186358,-0.11523650591118278,-0.02644938163374668
