Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
85,Cedar Waxwing,0.6962091050718366,0.16122351441771546,0.09122047953848927,0.6931506849315069,0.042121056,0.041105494581587784
86,Cerulean Warbler,0.9979227972996365,0.0,0.0,0.0,0.0020772028,0.0021379358099920366
87,Chestnut-sided Warbler,0.9919219894985863,0.11392405063291139,0.13846153846153847,0.0967741935483871,0.005366107,0.005885815185403178
88,Chimney Swift,0.6712826726674744,0.25887862625211394,0.16095114849563247,0.6611295681063123,0.08683861,0.088650763424852
89,Chipping Sparrow,0.6820148866193526,0.28176723576176205,0.17112553427259775,0.7971976401179941,0.0782413,0.07850638784059828
90,Chuck-will's-widow,0.9956724943742427,0.0,0.0,0.0,0.004327506,0.004275871619984073
91,Clapper Rail,0.7194622353009059,0.14098939929328622,0.07725072604065827,0.806060606060606,0.028561536,0.029506976422116814
92,Clay-colored Sparrow,0.9995383993999192,0.0,0.0,0.0,0.0004616006,0.00041546930720493024
93,Cliff Swallow,0.689919796895736,0.05851436580238262,0.030524584171083897,0.7046413502109705,0.013674918,0.012498701658414985
94,Common Gallinule,0.7540245802319543,0.18938961779806046,0.10571004033113988,0.9087591240875912,0.031619642,0.029351175431914966
95,Common Goldeneye,0.9979227972996365,0.0,0.0,0.0,0.0020772028,0.0016532216182529515
96,Common Grackle,0.683457388494605,0.34110016814797023,0.22929113515259164,0.6657290201593999,0.12307426,0.11991482879202299
97,Common Ground Dove,0.7336564537533898,0.18068867589634363,0.10165767924905132,0.8118022328548644,0.036177948,0.03351452411453104
98,Common Loon,0.7493508741561364,0.2584499829293274,0.1518555667001003,0.8671248568155785,0.050372165,0.04772703666516636
99,Common Nighthawk,0.7001327101725232,0.04343824774526044,0.022579410639112132,0.5700483091787439,0.011943916,0.012758369975418066
100,Common Tern,0.755005481507126,0.054764024933214604,0.028211009174311928,0.9318181818181818,0.00761641,0.007668870962157671
101,Common Yellowthroat,0.7330217529282788,0.2827468609517904,0.17504798464491364,0.7348912167606769,0.071605794,0.06946127479832427
102,Cooper's Hawk,0.6818994864693324,0.13602883560570445,0.07608695652173914,0.6410635155096012,0.03906295,0.039902364712806844
103,Couch's Kingbird,0.99994229992499,0.0,0.0,0.0,5.7700076e-05,9.521171623446318e-05
104,Dark-eyed Junco,0.9884022849229704,0.0,0.0,0.0,0.0074433098,0.006898521621715196
105,Dickcissel,0.9983843978997172,0.0,0.0,0.0,0.001615602,0.002302392410760655
106,Double-crested Cormorant,0.7262708441520974,0.501889962200756,0.36146400483968544,0.8207417582417582,0.16802262,0.1641449987882145
107,Downy Woodpecker,0.7419075644798339,0.5856415006947661,0.4713689233522219,0.7730496453900709,0.23593561,0.2345670463594502
108,Dunlin,0.7653337949339334,0.13852997246346113,0.07491408934707904,0.9185393258426966,0.020541226,0.01980403697676834
109,Eastern Bluebird,0.6854191910449483,0.4974188790560472,0.3842757441959835,0.7049908544551868,0.22081819,0.21724716961534465
110,Eastern Kingbird,0.707749120073856,0.2228019027159736,0.1326027397260274,0.6967370441458733,0.060123477,0.06108264376969151
111,Eastern Meadowlark,0.7138076279499164,0.1319565978298915,0.07226375311481695,0.7585513078470825,0.028676936,0.025049336980230586
112,Eastern Phoebe,0.6927471005712308,0.34670592565329406,0.23471760797342192,0.663068981698733,0.12295886,0.11894540040854482
113,Eastern Screech-Owl,0.99405689227396,0.0,0.0,0.0,0.005943108,0.006509019146210574
