Class,Label,Non-Zero Rate
201,Nashville Warbler,0.0007184156770418586
202,Nelson's Sparrow,0.0017051552816535677
203,Neotropic Cormorant,0.0016705328393864904
204,Northern Bobwhite,0.00864695495620261
205,Northern Cardinal,0.5436935221410518
206,Northern Flicker,0.04521690960080324
207,Northern Gannet,0.006768687463213655
208,Northern Harrier,0.02193331717619361
209,Northern House Wren,0.04270678253644012
210,Northern Mockingbird,0.4643561956860437
211,Northern Parula,0.04706921026209189
212,Northern Pintail,0.0009001834989440155
213,Northern Rough-winged Swallow,0.016566838624796593
214,Northern Shoveler,0.006387840598275803
215,Northern Waterthrush,0.010430010732957103
216,Olive-sided Flycatcher,0.0006405151819409341
217,Orange-crowned Warbler,0.06768687463213655
218,Orchard Oriole,0.030614894574663296
219,Osprey,0.17653983311982827
220,Ovenbird,0.008698888619603226
221,Pacific Loon,0.00010386732680123256
222,Painted Bunting,0.019189488626527716
223,Palm Warbler,0.04888688848111346
224,Parasitic Jaeger,9.521171623446318e-05
225,Pectoral Sandpiper,0.005219333171761936
226,Peregrine Falcon,0.00586850396426964
227,Philadelphia Vireo,0.0024235709586954263
228,Pied-billed Grebe,0.052556867361423676
229,Pileated Woodpecker,0.0615673579614306
230,Pine Siskin,0.022954679223072396
231,Pine Warbler,0.11005608835647267
232,Piping Plover,0.00753903680365613
233,Prairie Warbler,0.008551743239968147
234,Prothonotary Warbler,0.03259702939445348
235,Purple Finch,0.018523006612886472
236,Purple Gallinule,0.010559844891458644
237,Purple Martin,0.07543364608939515
238,Red Junglefowl,0.0008309386144098605
239,Red Knot,0.003557455942942215
240,Red-bellied Woodpecker,0.327389814077485
241,Red-breasted Merganser,0.026460201502613995
242,Red-breasted Nuthatch,0.00894124571547277
243,Red-cockaded Woodpecker,0.0048211750856905445
244,Red-eyed Vireo,0.04892151092338053
245,Red-headed Woodpecker,0.03740089325901049
246,Red-necked Grebe,0.00010386732680123256
247,Red-necked Phalarope,0.00014714537963507945
248,Red-shouldered Hawk,0.06695980334452792
249,Red-tailed Hawk,0.05041027594086487
250,Red-winged Blackbird,0.25721012360211887
251,Reddish Egret,0.012628535816916526
252,Redhead,0.005955060069937334
253,Ring-billed Gull,0.07565003635356438
254,Ring-necked Duck,0.01103590347263096
255,Rock Pigeon,0.06020842710244781
256,Rose-breasted Grosbeak,0.026157255132777064
257,Roseate Spoonbill,0.007833327562926288
258,Ross's Goose,0.00042412491777169963
259,Royal Tern,0.10506180105944674
260,Ruby-crowned Kinglet,0.10907800436242772
261,Ruby-throated Hummingbird,0.1279385797874182
262,Ruddy Duck,0.003782501817678219
263,Ruddy Turnstone,0.03418966173873905
264,Rufous Hummingbird,0.013848976906831009
265,Rusty Blackbird,0.001047328878579095
266,Sanderling,0.06671744624865839
267,Sandhill Crane,0.003012152477235744
268,Sandwich Tern,0.03234601668801717
269,Savannah Sparrow,0.02513589308589828
270,Say's Phoebe,0.0003462244226707752
