Class,Label,RMSE,MAE,NRMSE (by avg),NRMSE (by max),Normalized RMSE (0-1),Avg Count,Max Count,Non-Zero Rate
23,Bank Swallow,0.6496293937089707,0.03646644577383995,55.73627116246923,0.008120367421362133,0.008120366507428466,0.011655415,80.0,0.0030900529723366685
24,Barn Swallow,5.8688913606594095,2.9755351543426514,9.328969936395277,0.01956297120219803,0.019562971908227336,0.6291039,300.0,0.09187930616625697
25,Barred Owl,0.8024901972376969,0.6399515271186829,34.171886558994146,0.1337483662062828,0.1337483685273643,0.02348393,6.0,0.015484887303950421
26,Bay-breasted Warbler,0.3081790455354973,0.05227626860141754,30.695696130854365,0.017121058085305407,0.017121058295167753,0.010039813,18.0,0.004691340927189004
27,Bell's Vireo,0.09146863507972904,0.008366511203348637,792.6214497515854,0.09146863507972904,0.09146863507972904,0.00011540015,1.0,0.00022504587473600387
28,Belted Kingfisher,1.3436863462763529,1.2402631044387817,12.767230574168549,0.2687372692552706,0.26873727313668705,0.105244935,5.0,0.08709275352283351
29,Black Scoter,0.8036757098759376,0.05123766511678696,33.084332115889374,0.014882883516221067,0.014882884818562196,0.024291731,54.0,0.0021033133677249593
30,Black Skimmer,19.06933791292975,2.644913673400879,13.119395872208134,0.01906933791292975,0.019069338538261062,1.4535226,1000.0,0.02705743863172108
31,Black Swan,0.09051746203367464,0.007847210392355919,224.10831087408468,0.04525873101683732,0.04525873101683732,0.0004039005,2.0,0.00011252293736800194
32,Black Tern,31.650832651283146,0.7755467295646667,65.75648227068973,0.007912708162820787,0.007912707929039956,0.48133403,4000.0,0.008820067167537998
33,Black Vulture,2.5028170926074185,1.7669494152069092,9.184062010052017,0.03337089456809891,0.033370894932146254,0.27251744,75.0,0.055785410102828656
34,Black-and-white Warbler,0.9035157358290707,0.7061335444450378,17.001988312795646,0.04302455884900337,0.04302455653896007,0.05314177,21.0,0.02944638714814943
35,Black-bellied Plover,1.624668454313384,0.6801685094833374,13.047789051610986,0.016085826280330534,0.01608582527219688,0.12451676,101.0,0.03244988401481841
36,Black-bellied Whistling-Duck,18.67402985081529,4.248571872711182,15.93184976265203,0.01867402985081529,0.018674029044973672,1.1721194,1000.0,0.06079700862098812
37,Black-billed Cuckoo,0.11865419613997384,0.013963418081402779,102.81979787427446,0.05932709806998692,0.05932709806998692,0.0011540015,2.0,0.0010819513208461726
38,Black-chinned Hummingbird,0.15455688828948896,0.021695228293538094,28.802423949286126,0.051518962763162986,0.051518962009943096,0.005366107,3.0,0.005253955614029014
39,Black-crowned Night Heron,0.9650280733916926,0.5794241428375244,29.393501549705174,0.014846585744487578,0.014846586615953146,0.03283134,65.0,0.013701831527195929
40,Black-headed Grosbeak,0.09517831346136411,0.009058911353349686,329.90708362533434,0.09517831346136411,0.09517831346136411,0.00028850036,1.0,0.00045009174947200774
41,Black-headed Gull,0.015192113158923843,0.00023080030223354697,131.6472553276896,0.015192113158923843,0.015192113158923843,0.00011540015,1.0,0.000251012706436312
